               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.023034,           0.0084268,           0.0065208,             0.99137,                   1,               0.995,             0.70384,            0.015498,           0.0036327,           0.0022231,             0.00802,             0.00802,             0.00802
                 102,            0.028554,           0.0088738,           0.0063918,             0.98503,             0.99953,               0.995,             0.63845,            0.019367,           0.0044203,            0.002632,           0.0080002,           0.0080002,           0.0080002
                 103,            0.033793,           0.0092604,           0.0092631,             0.94341,             0.98924,             0.98747,             0.74992,            0.012093,           0.0048317,           0.0030902,           0.0079804,           0.0079804,           0.0079804
                 104,            0.027309,           0.0079525,           0.0063715,             0.98358,             0.97661,             0.99408,              0.5781,            0.019512,           0.0046196,           0.0025181,           0.0079606,           0.0079606,           0.0079606
                 105,            0.031642,           0.0078095,           0.0092455,             0.99185,              0.9999,               0.995,             0.74648,            0.016051,           0.0042577,           0.0021674,           0.0079408,           0.0079408,           0.0079408
                 106,            0.027281,           0.0078668,           0.0069628,             0.99606,                   1,               0.995,             0.80728,            0.013916,           0.0034111,           0.0019902,            0.007921,            0.007921,            0.007921
                 107,            0.027469,             0.00904,           0.0061342,             0.99567,                   1,               0.995,             0.82925,            0.013895,           0.0033406,           0.0019969,           0.0079012,           0.0079012,           0.0079012
                 108,            0.031137,            0.008803,            0.013882,             0.96749,                   1,             0.99407,             0.85157,            0.011616,           0.0031661,           0.0020906,           0.0078814,           0.0078814,           0.0078814
                 109,            0.022649,           0.0077643,           0.0058584,             0.99418,                   1,               0.995,             0.77821,            0.016963,           0.0032659,           0.0021431,           0.0078616,           0.0078616,           0.0078616
                 110,             0.02673,           0.0084112,            0.010548,             0.99624,                   1,               0.995,             0.79822,            0.012801,           0.0033038,           0.0022198,           0.0078418,           0.0078418,           0.0078418
                 111,            0.029309,           0.0079798,           0.0079607,             0.95083,             0.95419,             0.99377,             0.85918,            0.009241,           0.0032273,           0.0054978,            0.007822,            0.007822,            0.007822
                 112,            0.030099,           0.0076611,            0.011072,             0.94826,             0.97547,             0.99386,             0.81081,            0.012396,           0.0035679,           0.0055262,           0.0078022,           0.0078022,           0.0078022
                 113,             0.02237,           0.0083849,           0.0095365,             0.98866,                   1,               0.995,             0.76723,            0.013464,            0.003675,           0.0021541,           0.0077824,           0.0077824,           0.0077824
                 114,            0.024613,           0.0075927,           0.0073297,             0.99352,                   1,               0.995,             0.78861,            0.011587,           0.0035374,           0.0017614,           0.0077626,           0.0077626,           0.0077626
                 115,            0.026888,           0.0079405,           0.0093853,             0.96804,                   1,               0.995,             0.74775,            0.017029,           0.0034085,           0.0017617,           0.0077428,           0.0077428,           0.0077428
                 116,            0.030166,           0.0085723,           0.0086023,             0.99441,                   1,               0.995,             0.75865,            0.015402,           0.0034828,           0.0018878,            0.007723,            0.007723,            0.007723
                 117,            0.024619,           0.0080978,           0.0062161,             0.99193,             0.99879,               0.995,             0.77706,            0.012717,           0.0039969,           0.0020034,           0.0077032,           0.0077032,           0.0077032
                 118,            0.028269,           0.0089051,           0.0061503,             0.99375,             0.99522,               0.995,             0.81133,            0.012062,           0.0040205,           0.0020356,           0.0076834,           0.0076834,           0.0076834
                 119,            0.025343,           0.0081813,           0.0057317,             0.99337,             0.99537,               0.995,             0.82696,            0.010982,           0.0039447,           0.0018912,           0.0076636,           0.0076636,           0.0076636
                 120,            0.027341,           0.0084394,           0.0074922,             0.99176,             0.99503,               0.995,             0.82747,            0.012511,           0.0044892,           0.0018621,           0.0076438,           0.0076438,           0.0076438
                 121,            0.030618,           0.0080828,           0.0068508,              0.9936,             0.99594,               0.995,              0.8257,            0.012682,           0.0033752,           0.0018195,            0.007624,            0.007624,            0.007624
                 122,            0.033243,           0.0085846,           0.0076701,             0.98782,             0.99003,             0.99414,              0.8435,            0.011787,           0.0033703,           0.0024001,           0.0076042,           0.0076042,           0.0076042
                 123,             0.02951,           0.0075799,            0.003652,             0.98276,             0.97431,             0.99374,              0.8201,            0.012312,           0.0034066,           0.0031912,           0.0075844,           0.0075844,           0.0075844
                 124,            0.035766,           0.0078363,            0.010258,             0.98877,             0.99496,               0.995,              0.8526,            0.010554,           0.0034431,           0.0023524,           0.0075646,           0.0075646,           0.0075646
                 125,             0.02836,           0.0089482,           0.0054005,             0.99628,             0.99384,               0.995,             0.73017,            0.013826,           0.0034998,           0.0017737,           0.0075448,           0.0075448,           0.0075448
                 126,            0.037636,           0.0085952,           0.0069824,             0.98097,             0.99333,             0.99028,             0.84008,           0.0094139,           0.0036057,           0.0019865,            0.007525,            0.007525,            0.007525
                 127,            0.022715,           0.0072978,           0.0064533,             0.98483,             0.99333,             0.99078,             0.80809,            0.011996,           0.0035184,           0.0020724,           0.0075052,           0.0075052,           0.0075052
                 128,            0.027495,           0.0081468,           0.0043982,             0.98356,             0.99333,              0.9921,             0.82857,            0.013474,           0.0033676,            0.002165,           0.0074854,           0.0074854,           0.0074854
                 129,             0.02989,           0.0077491,           0.0041806,             0.97837,              0.9977,               0.995,             0.84289,             0.01345,           0.0033096,           0.0020075,           0.0074656,           0.0074656,           0.0074656
                 130,             0.02685,           0.0078386,           0.0047424,             0.96822,             0.97793,             0.99226,             0.71281,            0.019115,           0.0035254,           0.0018645,           0.0074458,           0.0074458,           0.0074458
